Mod:Item:MetaData, Localized Name
minecraft:wool:1, Orange Wool
minecraft:wool:2, Magenta Wool
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
DragonAPI:minecraft:redstone_wire_technical, Redstone Dust
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
DragonAPI:minecraft:wheat_technical, Crops
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
DragonAPI:minecraft:standing_sign_technical, Sign
DragonAPI:minecraft:wooden_door_technical, Wooden Door
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
DragonAPI:minecraft:wall_sign_technical, Sign
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
DragonAPI:minecraft:iron_door_technical, Iron Door
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
DragonAPI:minecraft:lit_redstone_ore_technical, Redstone Ore
DragonAPI:minecraft:unlit_redstone_torch_technical, Redstone Torch
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
DragonAPI:minecraft:reeds_technical, Sugar cane
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Klostein
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
DragonAPI:minecraft:cake_technical, Cake
DragonAPI:minecraft:unpowered_repeater_technical, tile.diode.name
DragonAPI:minecraft:powered_repeater_technical, tile.diode.name
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Silverfish
minecraft:monster_egg:1, Silverfish
minecraft:monster_egg:2, Silverfish
minecraft:monster_egg:3, Silverfish
minecraft:monster_egg:4, Silverfish
minecraft:monster_egg:5, Silverfish
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
DragonAPI:minecraft:pumpkin_stem_technical, tile.pumpkinStem.name
DragonAPI:minecraft:melon_stem_technical, tile.pumpkinStem.name
minecraft:vine, Vines
minecraft:fence_gate, Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
DragonAPI:minecraft:nether_wart_technical, Nether Wart
minecraft:enchanting_table, Enchantment Table
DragonAPI:minecraft:brewing_stand_technical, tile.brewingStand.name
DragonAPI:minecraft:cauldron_technical, Cauldron
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
DragonAPI:minecraft:lit_redstone_lamp_technical, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
DragonAPI:minecraft:tripwire_technical, Tripwire
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
DragonAPI:minecraft:flower_pot_technical, tile.flowerPot.name
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
DragonAPI:minecraft:skull_technical, tile.skull.name
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
DragonAPI:minecraft:unpowered_comparator_technical, tile.comparator.name
DragonAPI:minecraft:powered_comparator_technical, tile.comparator.name
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
BuildCraft|Core:eternalSpring:0, Water Spring
BuildCraft|Core:eternalSpring:1, Oil Spring
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Redstone Engine
BuildCraft|Core:engineBlock:1, Stirling Engine
BuildCraft|Core:engineBlock:2, Combustion Engine
BuildCraft|Core:engineBlock:3, Creative Engine
BuildCraft|Core:markerBlock, Land Mark
BuildCraft|Core:pathMarkerBlock, Path Mark
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
Natura:N Crops, Crops
Natura:BerryBush:12, Raspberry Bush
Natura:BerryBush:13, Blueberry Bush
Natura:BerryBush:14, Blackberry Bush
Natura:BerryBush:15, Maloberry Bush
Natura:NetherBerryBush:12, Blightberry Bush
Natura:NetherBerryBush:13, Duskberry Bush
Natura:NetherBerryBush:14, Skyberry Bush
Natura:NetherBerryBush:15, Stingberry Bush
Natura:Cloud:0, Cloud
Natura:Cloud:1, Dark Cloud
Natura:Cloud:2, Ash Cloud
Natura:Cloud:3, Sulfur Cloud
Natura:tree:0, Eucalyptus Wood
Natura:tree:1, Sakura Wood
Natura:tree:2, Ghostwood
Natura:tree:3, Hopseed Wood
Natura:redwood:0, Redwood Bark
Natura:redwood:1, Redwood
Natura:redwood:2, Redwood Root
Natura:planks:0, Eucalyptus Planks
Natura:planks:1, Sakura Planks
Natura:planks:2, Ghostwood Planks
Natura:planks:3, Redwood Planks
Natura:planks:4, Bloodwood Planks
Natura:planks:5, Hopseed Planks
Natura:planks:6, Maple Planks
Natura:planks:7, Silverbell Planks
Natura:planks:8, Amaranth Planks
Natura:planks:9, Tigerwood Planks
Natura:planks:10, Willow Planks
Natura:planks:11, Darkwood Planks
Natura:planks:12, Fusewood Planks
Natura:floraleaves:0, Redwood Leaves
Natura:floraleaves:1, Eucalyptus Leaves
Natura:floraleaves:2, Hopseed Leaves
Natura:floraleavesnocolor:0, Sakura Leaves
Natura:floraleavesnocolor:1, Ghostwood Leaves
Natura:floraleavesnocolor:2, Bloodleaves
Natura:floraleavesnocolor:3, Willow Leaves
Natura:florasapling:0, Redwood Sapling
Natura:florasapling:1, Eucalyptus Sapling
Natura:florasapling:2, Hopseed Sapling
Natura:florasapling:3, Sakura Sapling
Natura:florasapling:4, Ghostwood Sapling
Natura:florasapling:5, Blood Sapling
Natura:florasapling:6, Darkwood Sapling
Natura:florasapling:7, Fusewood Sapling
Natura:Saguaro:0, Saguaro Cactus
Natura:willow:0, Willow Wood
Natura:door.redwood, Redwood Door
Natura:door.eucalyptus, Eucalyptus Door
Natura:door.hopseed, Hopseed Door
Natura:door.sakura, Sakura Door
Natura:door.ghostwood, Ghostwood Door
Natura:door.bloodwood, Bloodwood Door
Natura:door.redwoodbark, Redwood Bark Door
Natura:bloodwood:0, Bloodwood
Natura:bloodwood:15, Bloodwood
Natura:soil.tainted, Tainted Soil
Natura:heatsand, Heat Sand
Natura:Dark Tree:0, Darkwood
Natura:Dark Tree:1, Fusewood
Natura:Dark Leaves:0, Darkwood Leaves
Natura:Dark Leaves:1, Darkwood Leaves
Natura:Dark Leaves:2, Darkwood Leaves
Natura:Dark Leaves:3, Fusewood Leaves
Natura:Thornvines, Thornvines
Natura:Glowshroom:0, Green Glowshroom
Natura:Glowshroom:1, Purple Glowshroom
Natura:Glowshroom:2, Blue Glowshroom
Natura:blueGlowshroom, Blue Glowshroom
Natura:purpleGlowshroom, Purple Glowshroom
Natura:greenGlowshroom, Green Glowshroom
Natura:Blazerail, Blaze Rail
Natura:BrailPowered, Powered Blaze Rail
Natura:BrailDetector, Detector Blaze Rail
Natura:BrailActivator, Activator Blaze Rail
Natura:NetherFurnace, Nether Furnace
Natura:Obelisk, Obelisk
Natura:NetherGlass:0, Soul Glass
Natura:NetherGlass:1, Heat Glass
Natura:NetherHopper, Hopper
Natura:NetherPressurePlate, Pressure Plate
Natura:NetherButton, Button
Natura:NetherLever, Lever
Natura:Rare Tree:0, Maple Wood
Natura:Rare Tree:1, Silverbell Wood
Natura:Rare Tree:2, Amaranth Wood
Natura:Rare Tree:3, Tiger Wood
Natura:Rare Leaves:0, Maple Leaves
Natura:Rare Leaves:1, Silverbell Leaves
Natura:Rare Leaves:2, Amaranth Leaves
Natura:Rare Leaves:3, Tiger Leaves
Natura:Rare Sapling:0, Maple Sapling
Natura:Rare Sapling:1, Silverbell Sapling
Natura:Rare Sapling:2, Amaranth Sapling
Natura:Rare Sapling:3, Tigerwood Sapling
Natura:Rare Sapling:4, Willow Sapling
Natura:Bluebells, Bluebells
Natura:Natura.workbench:0, Crafting Table
Natura:Natura.workbench:1, Crafting Table
Natura:Natura.workbench:2, Crafting Table
Natura:Natura.workbench:3, Crafting Table
Natura:Natura.workbench:4, Crafting Table
Natura:Natura.workbench:5, Crafting Table
Natura:Natura.workbench:6, Crafting Table
Natura:Natura.workbench:7, Crafting Table
Natura:Natura.workbench:8, Crafting Table
Natura:Natura.workbench:9, Crafting Table
Natura:Natura.workbench:10, Crafting Table
Natura:Natura.workbench:11, Crafting Table
Natura:Natura.workbench:12, Crafting Table
Natura:Natura.bookshelf:0, Bookshelf
Natura:Natura.bookshelf:1, Bookshelf
Natura:Natura.bookshelf:2, Bookshelf
Natura:Natura.bookshelf:3, Bookshelf
Natura:Natura.bookshelf:4, Bookshelf
Natura:Natura.bookshelf:5, Bookshelf
Natura:Natura.bookshelf:6, Bookshelf
Natura:Natura.bookshelf:7, Bookshelf
Natura:Natura.bookshelf:8, Bookshelf
Natura:Natura.bookshelf:9, Bookshelf
Natura:Natura.bookshelf:10, Bookshelf
Natura:Natura.bookshelf:11, Bookshelf
Natura:Natura.bookshelf:12, Bookshelf
Natura:Natura.fence:0, Fence
Natura:Natura.fence:1, Fence
Natura:Natura.fence:2, Fence
Natura:Natura.fence:3, Fence
Natura:Natura.fence:4, Fence
Natura:Natura.fence:5, Fence
Natura:Natura.fence:6, Fence
Natura:Natura.fence:7, Fence
Natura:Natura.fence:8, Fence
Natura:Natura.fence:9, Fence
Natura:Natura.fence:10, Fence
Natura:Natura.fence:11, Fence
Natura:Natura.fence:12, Fence
Natura:GrassBlock:0, Topiary Grass
Natura:GrassBlock:1, Bluegrass
Natura:GrassBlock:2, Autumnal Grass
Natura:GrassSlab:0, Topiary Grass Slab
Natura:GrassSlab:1, Bluegrass Slab
Natura:GrassSlab:2, Autumnal Grass Slab
Natura:plankSlab1:0, Eucalyptus Slab
Natura:plankSlab1:1, Sakura Slab
Natura:plankSlab1:2, Ghostwood Slab
Natura:plankSlab1:3, Redwood Slab
Natura:plankSlab1:4, Blood Slab
Natura:plankSlab1:5, Hopseed Slab
Natura:plankSlab1:6, Maple Slab
Natura:plankSlab1:7, Silverbell Slab
Natura:plankSlab2:0, Amaranth Slab
Natura:plankSlab2:1, Tigerwood Slab
Natura:plankSlab2:2, Willow Slab
Natura:plankSlab2:3, Darkwood Slab
Natura:plankSlab2:4, Fusewood Slab
Natura:stair.eucalyptus, Eucalyptus Stairs
Natura:stair.sakura, Sakura Stairs
Natura:stair.ghostwood, Ghostwood Stairs
Natura:stair.redwood, Redwood Stairs
Natura:stair.bloodwood, Blood Stairs
Natura:stair.hopseed, Hopseed Stairs
Natura:stair.maple, Maple Stairs
Natura:stair.silverbell, Silverbell Stairs
Natura:stair.amaranth, Amaranth Stairs
Natura:stair.tiger, Tigerwood Stairs
Natura:stair.willow, Willow Stairs
Natura:stair.darkwood, Darkwood Stairs
Natura:stair.fusewood, Fusewood Stairs
Natura:pressureplate.eucalyptus, Eucalyptus Pressure Plate
Natura:trapdoor.eucalyptus, Eucalyptus Trapdoor
Natura:button.eucalyptus, Eucalyptus Button
Natura:fenceGate.eucalyptus, Eucalyptus Fence Gate
Natura:pressureplate.sakura, Sakura Pressure Plate
Natura:trapdoor.sakura, Sakura Trapdoor
Natura:button.sakura, Sakura Button
Natura:fenceGate.sakura, Sakura Fence Gate
Natura:pressureplate.ghostwood, Ghostwood Pressure Plate
Natura:trapdoor.ghostwood, Ghostwood Trapdoor
Natura:button.ghostwood, Ghostwood Button
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Wooden Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk Bucket
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Chest Cart
minecraft:furnace_minecart, Furnace Cart
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, mariculture.fishingRod.name
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:cooked_fished:0, Cooked Fish
minecraft:cooked_fished:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion:0, Water Bottle
minecraft:potion:8193, Potion of Regeneration
minecraft:potion:8225, Potion of Regeneration
minecraft:potion:8257, Potion of Regeneration
minecraft:potion:16385, Splash Potion of Regeneration
minecraft:potion:16417, Splash Potion of Regeneration
minecraft:potion:16449, Splash Potion of Regeneration
minecraft:potion:8194, Potion of Swiftness
minecraft:potion:8226, Potion of Swiftness
minecraft:potion:8258, Potion of Swiftness
minecraft:potion:16386, Splash Potion of Swiftness
minecraft:potion:16418, Splash Potion of Swiftness
minecraft:potion:16450, Splash Potion of Swiftness
minecraft:potion:8227, Potion of Fire Resistance
minecraft:potion:8259, Potion of Fire Resistance
minecraft:potion:16419, Splash Potion of Fire Resistance
minecraft:potion:16451, Splash Potion of Fire Resistance
minecraft:potion:8196, Potion of Poison
minecraft:potion:8228, Potion of Poison
minecraft:potion:8260, Potion of Poison
minecraft:potion:16388, Splash Potion of Poison
minecraft:potion:16420, Splash Potion of Poison
minecraft:potion:16452, Splash Potion of Poison
minecraft:potion:8261, Potion of Healing
minecraft:potion:8229, Potion of Healing
minecraft:potion:16453, Splash Potion of Healing
minecraft:potion:16421, Splash Potion of Healing
minecraft:potion:8230, Potion of Night Vision
minecraft:potion:8262, Potion of Night Vision
minecraft:potion:16422, Splash Potion of Night Vision
minecraft:potion:16454, Splash Potion of Night Vision
minecraft:potion:8232, Potion of Weakness
minecraft:potion:8264, Potion of Weakness
minecraft:potion:16424, Splash Potion of Weakness
minecraft:potion:16456, Splash Potion of Weakness
minecraft:potion:8201, Potion of Strength
minecraft:potion:8233, Potion of Strength
minecraft:potion:8265, Potion of Strength
minecraft:potion:16393, Splash Potion of Strength
minecraft:potion:16425, Splash Potion of Strength
minecraft:potion:16457, Splash Potion of Strength
minecraft:potion:8234, Potion of Slowness
